"X","Track.Name","Artist","id","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Streams","popularity"
27,"Fancy Like","Walker Hayes","0lnpnsrVaW9elGgRxpDCgE",0.114,0.649,161853,0.76,0,1,0.317,-6.487,1,0.0574,80.018,4,0.843,3387216,70
28,"Hurricane","Kanye West","6Hfu9sc7jvv6coyy2LlzBF",0.0466,0.587,243187,0.561,0,0,0.109,-6.569,1,0.146,80.009,4,0.351,3379768,86
29,"Get Into It (Yuh)","Doja Cat","0W6I02J9xcqK8MtSeosEXb",0.315,0.912,138293,0.655,3.39e-05,8,0.0894,-6.029,0,0.162,91.942,4,0.793,3300398,89
30,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick","4yNoUQkYf1QF8iYlEzNynH",0.0045,0.739,279853,0.74,0,5,0.161,-5.86,0,0.333,75.575,4,0.488,3255395,82
31,"love nwantiti (ah ah ah)","CKay","2Xr1dTzJee307rmrkt8c0g",0.365,0.727,145800,0.739,0.00137,8,0.161,-3.805,1,0.0411,93.005,4,0.533,3245803,95
32,"Sweater Weather","The Neighbourhood","2QjOHCTQ1Jl3zawyYOpxh6",0.0495,0.612,240400,0.807,0.0177,10,0.101,-2.81,1,0.0336,124.053,4,0.398,3170668,90
33,"Life Goes On","Oliver Tree","0eu4C55hL6x29mmeAjytzC",0.186,0.7,161803,0.49,0,0,0.117,-5.187,1,0.076,79.982,4,0.569,3165313,94
34,"My Universe","Coldplay","3FeVmId7tL5YN8B7R3imoM",0.00813,0.588,228000,0.701,0,9,0.2,-6.39,1,0.0402,104.988,4,0.443,3154042,96
35,"RAPSTAR","Polo G","18vXApRmJSgQ6wG2ll9AOg",0.41,0.789,165926,0.536,0,6,0.129,-6.862,1,0.242,81.039,4,0.437,3118757,80
36,"Cold Heart - PNAU Remix","Elton John","6zSpb8dQRaw0M1dK8PBwQz",0.034,0.796,202735,0.798,4.19e-05,1,0.0952,-6.312,1,0.0317,116.032,4,0.942,3024449,96
37,"Ain't Shit","Doja Cat","5lAnYvAIkSDNXqfo7DyFUm",0.506,0.855,174253,0.488,0,3,0.347,-4.601,1,0.208,124.097,4,0.619,2872593,87
38,"...And to Those I Love, Thanks for Sticking Around","$uicideboy$","30QR0ndUdiiMQMA9g1PGCm",0.124,0.792,168490,0.511,9.04e-05,2,0.14,-6.876,1,0.0409,113.983,4,0.111,2838937,87
39,"deja vu","Olivia Rodrigo","6HU7h9RYOaPRFeh0R3UeAr",0.584,0.442,215507,0.612,5.7e-06,2,0.37,-7.222,1,0.112,180.917,4,0.178,2746545,90
40,"Wants and Needs (feat. Lil Baby)","Drake","65OVbaJR5O1RmwOQx0875b",0.0618,0.578,192956,0.449,2.17e-06,1,0.119,-6.349,1,0.286,136.006,4,0.1,2715672,85
41,"Freaks","Surf Curse","7EkWXAI1wn8Ii883ecd9xr",3.84e-05,0.345,147062,0.941,0.633,9,0.0511,-9.918,1,0.0466,179.626,4,0.407,2641183,89
42,"No Role Modelz","J. Cole","62vpWI1CHwFy7tMIcSStl8",0.301,0.692,292987,0.521,0,10,0.0565,-8.465,0,0.33,100.45,4,0.463,2612810,86
43,"Moon","Kanye West","7CC6UbCs4iGsePSzFxYxNn",0.898,0.319,156091,0.236,1.62e-05,5,0.272,-9.644,1,0.0318,162.351,4,0.254,2611717,82
44,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage","Skylar Grey","5W8HXMOMLtXLz0RGKUtnlZ",0.237,0.664,257369,0.692,0,1,0.0798,-4.128,0,0.127,154.924,4,0.233,2601300,85
45,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber","4iJyoBOLtHqaGxP12qzhQI",0.321,0.677,198082,0.696,0,0,0.42,-6.181,1,0.119,90.03,4,0.464,2598232,92
46,"Too Easy","Gunna","4eL3XeuGaEoVT8ttDh3hwY",0.024,0.798,138587,0.574,0,1,0.122,-6.548,1,0.157,155.964,4,0.309,2577004,83
47,"Sharing Locations (feat. Lil Baby & Lil Durk)","Meek Mill","3T9BKc4kB7ukeNQrCqv6ZV",0.00383,0.681,161053,0.63,0,1,0.139,-5.585,1,0.0385,151.951,4,0.183,2576920,71
48,"Está Dañada","Ivan Cornejo","6G2xXQRSZlEzYsUEb3uvuR",0.38,0.405,214149,0.565,0.0195,1,0.107,-9.266,0,0.0372,159.892,3,0.166,2531572,85
49,"Blinding Lights","The Weeknd","0VjIjW4GlUZAMYd2vXMi3b",0.00146,0.514,200040,0.73,9.54e-05,1,0.0897,-5.934,1,0.0598,171.005,4,0.334,2480929,92
50,"drivers license","Olivia Rodrigo","5wANPM4fQCJwkGd4rN57mH",0.768,0.561,242013,0.431,1.42e-05,10,0.106,-8.81,1,0.0578,143.875,4,0.137,2475390,91
51,"Praise God","Kanye West","0WSEq9Ko4kFPt8yo3ICd6T",0.00904,0.798,226653,0.545,9.48e-05,1,0.258,-6.466,1,0.168,118.029,4,0.212,2465843,85
52,"A-O-K","Tai Verdes","1sx0XsWUusUoPstbvokZjP",0.125,0.731,173640,0.626,0,11,0.183,-6.919,1,0.0805,82.488,4,0.862,2428848,78
53,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd","37BZB0z9T8Xu7U3e65qxFy",0.0215,0.65,191014,0.825,2.44e-05,0,0.0936,-4.645,1,0.0325,118.091,4,0.593,2416719,92
54,"Champagne Poetry","Drake","2HSmyk2qMN8WQjuGhaQgCk",0.758,0.423,336511,0.667,0,6,0.246,-7.012,0,0.326,86.743,4,0.496,2349274,86
55,"Your Heart","Joyner Lucas","2DTpP3caqX3QdJIEoS83mD",0.392,0.861,198621,0.637,0,6,0.0929,-7.701,0,0.133,87.006,4,0.754,2296494,82
56,"Have Mercy","Chlöe","5SixeLvPsYpk7qq9lo5xYg",0.297,0.903,148779,0.535,0,9,0.345,-6.434,1,0.0742,130.022,4,0.508,2282854,86
57,"MONEY","LISA","7hU3IHwjX150XLoTVmjD0q",0.161,0.831,168228,0.554,6.12e-05,1,0.152,-9.998,0,0.218,140.026,4,0.396,2264491,93
58,"You Right","Doja Cat","0k4d5YPDr1r7FX77VdqWez",0.0164,0.828,186173,0.621,0.00233,8,0.0845,-6.414,1,0.0565,128.986,4,0.436,2254892,86
59,"Miss The Rage (feat. Playboi Carti)","Trippie Redd","5gZYpjakt37G3c58FKcQwJ",0.0151,0.581,236883,0.877,0,8,0.826,-4.938,1,0.114,77.006,4,0.353,2244365,76
60,"Ghost","Justin Bieber","6I3mqTwhRpn34SLVafSH7G",0.185,0.601,153190,0.741,2.91e-05,2,0.415,-5.569,1,0.0478,153.96,4,0.441,2208575,85
61,"Yonaguni","Bad Bunny","2JPLbjOn0wPCngEot2STUS",0.276,0.644,206710,0.648,0,1,0.135,-4.601,1,0.118,179.951,4,0.44,2184709,94
62,"YKWIM?","Yot Club","2vWBUC9djv6BtiGlmKiQaH",0.937,0.372,212750,0.537,0.873,9,0.287,-7.623,1,0.0305,123.735,3,0.228,2153558,85
63,"No Friends In The Industry","Drake","2tUL6dZf1mywCj5WvCPZw6",0.0181,0.84,204347,0.744,0,1,0.629,-4.751,1,0.113,83.737,4,0.171,2139859,85
64,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","0RiRZpuVRbi7oqRdSMwhQY",0.533,0.755,157560,0.522,0,2,0.0685,-4.368,1,0.0575,89.96,4,0.925,2133721,81
65,"Tell Em","Cochise","7nc7mlSdWYeFom84zZ8Wr8",0.103,0.672,180380,0.717,0,5,0.398,-7.476,1,0.226,157.905,4,0.473,2132743,85
66,"LOT OF ME","Lil Tecca","2ZXxRC6V6AXzMdbLQZMHSB",0.223,0.704,123871,0.537,0,0,0.122,-8.565,1,0.302,77.444,4,0.7,2122868,80
67,"Take My Breath","The Weeknd","6M3PsepEj5gyJoIi7Xvr7u",0.0106,0.747,220196,0.739,2.22e-05,8,0.101,-6.008,1,0.0487,120.996,4,0.523,2087070,83
68,"favorite crime","Olivia Rodrigo","5JCoSi02qi3jJeHdZXMmR8",0.866,0.369,152667,0.272,0,9,0.147,-10.497,1,0.0364,172.929,4,0.218,2059107,88
69,"Leave The Door Open","Bruno Mars","7MAibcTli4IisCtbHKrGMh",0.182,0.586,242096,0.616,0,5,0.0927,-7.964,1,0.0324,148.088,4,0.719,2054835,90
70,"my ex's best friend (with blackbear)","Machine Gun Kelly","7kDUspsoYfLkWnZR7qwHZl",0.00473,0.731,139461,0.675,0,5,0.141,-5.134,0,0.0434,124.939,4,0.298,2051376,84
71,"Mr. Brightside","The Killers","003vvx7Niy0yvhvHt4a68B",0.00121,0.352,222973,0.911,0,1,0.0995,-5.23,1,0.0747,148.033,4,0.236,2045793,83
72,"Rich MF (feat. Polo G & Lil Durk)","Trippie Redd","6cUHiQEECDl5m3WFGQ1GCR",0.0849,0.756,247714,0.698,0,6,0.221,-5.464,1,0.178,77.497,4,0.66,2043802,81
73,"Heartbreak Anniversary","Giveon","3FAJ6O0NOHQV8Mc5Ri6ENp",0.524,0.449,198371,0.465,1.02e-06,0,0.303,-8.964,1,0.0791,89.087,3,0.543,2030165,86
74,"Off The Grid","Kanye West","6LNoArVBBVZzUTUiAX2aKO",0.0438,0.546,339250,0.64,0,8,0.137,-5.582,1,0.37,137.728,4,0.63,2026975,81
75,"Circles","Post Malone","21jGcNKet2qwijlDFuPiPb",0.192,0.695,215280,0.762,0.00244,0,0.0863,-3.497,1,0.0395,120.042,4,0.553,2025878,87
76,"Thot Shit","Megan Thee Stallion","5zNW5ARjYhJQJz1AChP33n",0.0133,0.95,184635,0.693,0,9,0.173,-3.424,1,0.0898,130.02,4,0.891,2015982,84
77,"Sky","Playboi Carti","29TPjc8wxfz4XMn21O7VsZ",0.258,0.785,193234,0.903,0,2,0.169,-4.184,1,0.21,139.98,4,0.565,2014957,85
78,"20 Min","Lil Uzi Vert","0uxSUdBrJy9Un0EYoBowng",0.109,0.773,220587,0.75,0,8,0.174,-4.009,0,0.117,123.426,4,0.783,2002208,83
79,"Wildest Dreams (Taylor's Version)","Taylor Swift","1Ov37jtRQ2YNAe8HzfczkL",0.0374,0.583,220433,0.67,1e-04,8,0.126,-7.289,1,0.0646,140.061,4,0.498,1997532,87
80,"Martin & Gina","Polo G","1VLtjHwRWOVJiE5Py7JxoQ",0.345,0.832,132833,0.534,0,1,0.165,-7.813,0,0.253,93.924,4,0.116,1977909,84
81,"She Knows (feat. Amber Coffman & Cults)","J. Cole","0Fs9cdPDhptWEDJmiCbkEW",0.0193,0.766,296520,0.74,0.0784,1,0.229,-10.363,1,0.0807,118.008,4,0.183,1976003,86
82,"WFM","Realestk","18ddJHQ7CUzNBiy55L0Xjj",0.72,0.437,136000,0.184,0.00253,1,0.113,-17.667,1,0.0313,80.088,4,0.247,1974243,85
83,"Leave Before You Love Me (with Jonas Brothers)","Marshmello","4qu63nuBpdn0qHUHuObEj1",0.00226,0.721,154983,0.738,4.41e-06,7,0.118,-4.77,1,0.0403,119.976,4,0.637,1972746,89
84,"Pain","PinkPantheress","7CIERzyqIwLVKGp00YbHRO",0.227,0.829,98544,0.617,0.00306,1,0.0618,-8.497,1,0.14,125.605,4,0.81,1967438,83
85,"All Girls Are The Same","Juice WRLD","4VXIryQMWpIdGgYR4TrjT1",0.0769,0.671,165820,0.529,0.000335,0,0.0856,-7.226,1,0.307,161.989,4,0.203,1965641,84
86,"Good Days","SZA","3YJJjQPAbDT7mGpX3WtQ9A",0.499,0.436,279204,0.655,8.1e-06,1,0.688,-8.37,0,0.0583,121.002,4,0.412,1948345,84
87,"Happier Than Ever - Edit","Billie Eilish","32BeYxKPrig1LefHsC0Xuo",0.0468,0.334,151444,0.599,0.000392,0,0.205,-5.742,1,0.0365,161.74,3,0.127,1946569,88
88,"Watermelon Sugar","Harry Styles","6UelLqGlWMcVH1E5c4H7lY",0.122,0.548,174000,0.816,0,0,0.335,-4.209,1,0.0465,95.39,4,0.557,1944051,89
89,"Bored","Billie Eilish","04sN26COy28wTXYj3dMoiZ",0.896,0.614,180933,0.318,0.00239,7,0.0795,-12.695,1,0.0478,119.959,4,0.112,1940923,88
90,"telepatía","Kali Uchis","6tDDoYIxWvMLTdKpjFkc1B",0.112,0.653,160191,0.524,0,11,0.203,-9.016,0,0.0502,83.97,4,0.553,1916834,87
91,"Mood (feat. iann dior)","24kGoldn","4jPy3l0RUwlUI9T5XHBW2m",0.174,0.701,140533,0.716,0,7,0.324,-3.671,0,0.0361,91.007,4,0.732,1911440,89
92,"Prada (feat. Lil Tecca)","24kGoldn","4wuMS7NGVbU7hdu94K5icd",0.122,0.686,151586,0.69,0,6,0.137,-6.13,0,0.24,178.157,4,0.528,1903444,78
93,"The Spins","Mac Miller","51pshtuYkgUQnt5huMPbKL",0.0135,0.794,195873,0.766,0,9,0.0785,-3.894,0,0.0377,127.007,4,0.55,1887769,82
94,"Dreams - 2004 Remaster","Fleetwood Mac","0ofHAoxe9vBkTCp2UQIavz",0.0644,0.828,257800,0.492,0.00428,0,0.128,-9.744,1,0.0276,120.151,4,0.789,1883786,85
95,"Daddy Issues","The Neighbourhood","5E30LdtzQTGqRvNd7l6kG5",0.0678,0.588,260173,0.521,0.149,10,0.123,-9.461,1,0.0329,85.012,4,0.337,1879744,87
96,"we fell in love in october","girl in red","1BYZxKSf0aTxp8ZFoeyM3d",0.113,0.566,184154,0.366,0.181,7,0.155,-12.808,1,0.028,129.959,4,0.237,1877837,85
97,"Come & Go (with Marshmello)","Juice WRLD","2Y0wPrPQBrGhoLn14xRYCG",0.0172,0.625,205485,0.814,0,0,0.158,-5.181,1,0.0657,144.991,4,0.535,1865612,84
98,"Lucid Dreams","Juice WRLD","285pBltuF7vW8TeWk8hdRR",0.349,0.511,239836,0.566,0,6,0.34,-7.23,0,0.2,83.903,4,0.218,1856818,85
99,"Space Song","Beach House","7H0ya83CMmgFcOhw0UB6ow",0.229,0.508,320467,0.792,0.124,0,0.145,-7.311,0,0.0297,147.067,4,0.601,1853868,80
0,"Volví","Aventura","2vmfvSoZBFAt9hhRoEByLi",0.422,0.725,230125,0.86,0.000284,1,0.0674,-3.726,1,0.182,175.896,4,0.791,1836406,93
1,"Classic","MKTO","6FE2iI43OZnszFLuLtvvmg",0.0384,0.72,175427,0.791,0,1,0.157,-4.689,1,0.124,102.071,4,0.756,1831669,84
2,"jealousy, jealousy","Olivia Rodrigo","0MMyJUC3WNnFS1lit5pTjk",0.198,0.695,173160,0.575,0,10,0.0614,-6.334,0,0.116,163.929,4,0.699,1826608,87
3,"brutal","Olivia Rodrigo","6SRsiMl7w1USE4mFqrOhHC",0.0311,0.672,143747,0.526,1.37e-06,4,0.28,-6.446,1,0.0599,123.999,4,0.28,1821173,85
4,"t r a n s p a r e n t s o u l feat. Travis Barker","WILLOW","5JKnYZOhSP7rOK0jPYcCjV",0.00213,0.374,168398,0.83,0,11,0.15,-5.203,0,0.0584,90.19,4,0.204,1815580,76
5,"5X","Don Toliver","2OcbewDrWFNTYRqpSzJBCY",0.0402,0.898,132398,0.518,0,1,0.106,-6.991,1,0.21,145.082,4,0.798,1806739,75
6,"DÁKITI","Bad Bunny","4MzXwWMhyBbmu6hOcLVD49",0.401,0.731,205090,0.573,5.22e-05,4,0.113,-10.059,0,0.0544,109.928,4,0.145,1805696,85
7,"happier","Olivia Rodrigo","2tGvwE8GcFKwNdAXMnlbfl",0.765,0.395,175933,0.443,9.67e-06,6,0.0839,-9.72,1,0.133,168.924,3,0.338,1801822,89
8,"SLOW DANCING IN THE DARK","Joji","0rKtyWc8bvkriBthvHKY8d",0.544,0.515,209274,0.479,0.00598,3,0.191,-7.458,1,0.0261,88.964,4,0.284,1795274,84
9,"505","Arctic Monkeys","58ge6dfP91o9oXMzq3XkIS",0.00237,0.52,253587,0.852,5.79e-05,0,0.0733,-5.866,1,0.0543,140.267,4,0.234,1789259,79
10,"edamame (feat. Rich Brian)","bbno$","5rW7qTn83sCKtqBoneJs63",0.0229,0.815,133707,0.849,0.000176,4,0.026,-4.704,0,0.114,106.035,4,0.685,1786862,72
11,"Loverboy","A-Wall","0qXP5fMhxGzxALOkXYUxfP",0.649,0.604,224520,0.466,0.0334,0,0.093,-10.093,1,0.0315,120.045,4,0.499,1783611,80
12,"Wait a Minute!","WILLOW","0y60itmpH0aPKsFiGxmtnh",0.0371,0.764,196520,0.705,1.94e-05,3,0.0943,-5.279,0,0.0278,101.003,4,0.672,1774413,84
13,"Buy Dirt","Jordan Davis","69AIpwGNLxr4qS1X5ynx60",0.639,0.586,167480,0.559,0,4,0.0872,-6.725,1,0.05,177.945,4,0.437,1771328,80
14,"Electric Love","BØRNS","2GiJYvgVaD2HtM8GqD9EgQ",0.00543,0.611,218107,0.797,0.00137,6,0.26,-7.627,0,0.0533,120.041,4,0.518,1753927,84
15,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix","CKay","4gvrJnKCKIPiacNsWVQwEU",0.436,0.579,188369,0.596,0.0938,8,0.0549,-4.823,1,0.0561,119.9,3,0.443,1748706,94
16,"Streets","Doja Cat","60ynsPSSKe6O3sfwRnIBRf",0.21,0.749,226987,0.463,0.0382,11,0.338,-8.433,1,0.0842,90.035,4,0.189,1740587,85
17,"Work Out","J. Cole","2wAJTrFhCnQyNSD3oUgTZO",0.0531,0.831,235320,0.427,0,2,0.307,-6.903,1,0.106,93.004,4,0.216,1725082,82
18,"XO Tour Llif3","Lil Uzi Vert","7GX5flRQZVHRAGd6B4TmDO",0.00264,0.732,182707,0.75,0,11,0.109,-6.366,0,0.231,155.096,4,0.401,1721715,84
19,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money","7hxHWCCAIIxFLCzvDgnQHX",0.25,0.8,195429,0.658,0,1,0.111,-6.142,0,0.079,140.042,4,0.462,1719406,80
20,"Way Bigger","Don Toliver","0HNKMJ2EKCaT2EqcCBj1EH",0.0534,0.752,196011,0.531,0,1,0.124,-6.236,1,0.0568,131.97,4,0.2,1710363,77
21,"Heather","Conan Gray","4xqrdfXkTW4T0RauPLv3WA",0.584,0.357,198040,0.425,0,5,0.322,-7.301,1,0.0333,102.078,3,0.27,1704485,87
22,"Teenagers","My Chemical Romance","7j31rVgGX9Q2blT92VBEA0",0.0506,0.463,161920,0.857,0,4,0.184,-3.063,1,0.0632,111.647,4,0.856,1701963,84
23,"goosebumps","Travis Scott","6gBFPUFcJLzWGx4lenP6h2",0.0847,0.841,243837,0.728,0,7,0.149,-3.37,1,0.0484,130.049,4,0.43,1700464,86
24,"Todo De Ti","Rauw Alejandro","5RwV8BvLfX5injfqYodke9",0.302,0.78,199604,0.719,0.000196,3,0.0931,-3.613,0,0.0506,127.962,4,0.336,1694266,85
25,"Wishing Well","Juice WRLD","2U5WueTLIK5WJLD7mvDODv",0.00336,0.65,194621,0.613,0,9,0.267,-6.13,0,0.128,149.972,4,0.0804,1694243,83
26,"What You Need","Don Toliver","7iC56CDz8miPDKaH0OEIqS",0.0636,0.656,217609,0.672,1.45e-05,10,0.186,-7.385,0,0.0468,130.006,4,0.137,1693611,73
27,"Red Eye (feat. TroyBoi)","Justin Bieber","24OeEKPQ8qqNZnPevRHxUT",0.0501,0.815,187453,0.816,0.000887,5,0.0761,-4.393,0,0.0513,96.033,4,0.774,1688180,81
28,"Jocelyn Flores","XXXTENTACION","7m9OqQk4RVRkw9JJdeAw96",0.469,0.872,119133,0.391,4.13e-06,0,0.297,-9.144,0,0.242,134.021,4,0.437,1683710,86
29,"Lonely (with Lil Wayne)","DaBaby","6pmNoWKk0r6zfIjWneJRxR",0.0884,0.718,154433,0.628,0,0,0.186,-5.334,1,0.373,139.769,4,0.771,1679290,81
30,"EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)","DJ Khaled","1EJIcDYXwSqipW5dFe4uJz",0.000866,0.477,236524,0.727,0,2,0.108,-4.053,1,0.286,150.062,4,0.227,1666032,80
31,"Astronaut In The Ocean","Masked Wolf","6E90gq0KO6FYZVOXx8kCcC",0.175,0.778,132780,0.695,0,4,0.15,-6.865,0,0.0913,149.996,4,0.472,1660182,75
32,"Die For You","The Weeknd","2LBqCSwhJGcFQeTHMVGwy3",0.111,0.586,260253,0.525,0,1,0.134,-7.163,0,0.0615,133.629,4,0.508,1635709,75
33,"Money Trees","Kendrick Lamar","2HbKqm4o0w5wEeEFXm2sD4",0.0703,0.716,386907,0.531,0,7,0.224,-7.355,1,0.122,71.994,4,0.344,1633977,78
34,"Collard Greens","ScHoolboy Q","0zO8ctW0UiuOefR87OeJOZ",0.025,0.825,299960,0.575,9.94e-06,11,0.205,-4.87,1,0.0633,153.954,4,0.65,1633824,83
35,"XSCAPE","Don Toliver","0jNFDcGAXPs5ahngmD5R6n",0.602,0.403,156248,0.405,0,4,0.239,-7.718,0,0.0431,100.626,4,0.0524,1630075,75
36,"Robbery","Juice WRLD","6Hj9jySrnFppAI0sEMCZpJ",0.328,0.685,240051,0.692,0,2,0.153,-5.122,1,0.0457,159.966,5,0.578,1627039,84
37,"Whiskey Glasses","Morgan Wallen","6foY66mWZN0pSRjZ408c00",0.369,0.614,234347,0.68,1.84e-06,6,0.115,-4.58,1,0.0289,149.959,4,0.707,1617216,79
38,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow","0ZLuW8uOXdFNWcI40C0OC2",0.0631,0.904,227478,0.723,0,11,0.185,-5.224,0,0.26,145.013,4,0.835,1615978,75
39,"Everybody Talks","Neon Trees","2iUmqdfGZcHIhS3b9E9EWq",0.00301,0.471,177280,0.924,0,8,0.313,-3.906,1,0.0586,154.961,4,0.725,1615635,82
40,"m y . l i f e (with 21 Savage & Morray)","J. Cole","1D3z6HTiQsNmZxjl7F7eoG",0.0622,0.597,218802,0.587,0,7,0.214,-7.026,0,0.137,140.021,4,0.0753,1615521,81
41,"Pursuit Of Happiness (Nightmare)","Kid Cudi","4kTLpAbhuEGHAAdDjOIWaa",0.497,0.627,295293,0.589,7.05e-05,0,0.324,-9.056,1,0.0405,115.284,4,0.247,1612440,71
42,"Someone You Loved","Lewis Capaldi","7qEHsqek33rTcFNT9PFqLf",0.751,0.501,182161,0.405,0,1,0.105,-5.679,1,0.0319,109.891,4,0.446,1606402,87
